Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX,Ensemble (Top-3 Experts)
2014-01-28,25653.0,32542.0,26918.721262398023,32190.04,24867.62482443954,25368.247914968586,25934.08941711268,25718.19800060205
2014-01-29,20502.67,32692.0,26995.835219994602,31024.68,25010.26473342046,26799.80805304295,26780.38530132689,26268.636002152674
2014-01-30,23183.0,27306.0,24555.791380347702,31994.94,26548.448900323674,25969.53815773284,29585.118880185943,25691.259479468074
2014-01-31,26191.0,24720.0,25913.16944912328,33375.57,29418.686742977865,28973.31263065747,31934.624952278296,28101.72294091954
2014-02-01,31015.0,34321.0,29720.397022963632,38512.173899999994,37687.92333368137,37539.13967446871,40607.17469022787,34982.4866770379
2014-02-02,20641.0,27527.0,31702.39200535103,36406.31,30812.41926032397,28791.110275989427,34159.82491316972,30435.30718055481
2014-02-03,20502.67,27120.0,21382.970634976344,30852.92,26968.052872146392,23844.43078596049,31686.508776039464,24065.15143102774
2014-02-04,21640.0,25653.0,21702.298369362637,30980.62,24715.13096835656,21919.271694905765,29558.511880765112,22778.90034420832
2014-02-05,20859.0,20502.67,22228.79735275705,31121.86,24857.770877337483,24424.47212363679,29945.990443049042,23837.013451243776
2014-02-06,22869.0,23183.0,23297.86171846967,32019.43,26395.955044240694,24457.398100217608,30581.204964245153,24717.07162097599
2014-02-07,24427.0,26191.0,25384.0772971442,33400.62,29266.192886894885,27227.76700916252,32844.680977690245,27292.679064400534
2014-02-08,24989.0,31015.0,27492.12971041198,37178.2239,37535.429477598394,35439.742920750825,42702.10142903375,33489.1007029204
2014-02-09,26882.0,20641.0,27560.697384304982,35519.07,30659.925404240996,25493.907435201058,37387.26186598705,27904.843407915683
2014-02-10,23616.0,20502.67,22531.87782444305,31293.87,26815.559016063413,24474.75431900807,30980.84261535945,24607.397053171513
2014-02-11,24585.0,21640.0,22727.668626024293,31886.43,24562.63711227358,21072.3444650495,28036.79118217374,22787.55006778246
2014-02-12,26532.0,20859.0,24195.37299440872,31887.92,24705.2770212545,23384.420106871643,27141.11028718308,24095.023374178287
2014-02-13,29654.0,22869.0,26599.740357879393,32718.65,26243.46118815772,24326.91839041296,26951.274280989142,25723.373312150023
2014-02-14,32275.0,24427.0,29161.681810407412,34194.97,29113.699030811906,27576.5712962672,29075.500334970013,28617.31737916217
2014-02-15,59753.0,24989.0,31363.035011844106,39099.38389999999,37382.93562151541,36248.26442064637,38934.40580945986,34998.078351335294
2014-02-16,50378.0,26882.0,42086.39625263242,46572.73,30507.431548158012,36571.45716971301,28856.509244369612,36388.428323501146
2014-02-17,47833.0,23616.0,33252.25605678422,43562.56,26663.065159980433,31058.945776356988,23854.938501067707,30324.755664373883
2014-02-18,24267.0,24585.0,34935.49980472466,40919.84,24410.1432561906,26837.61497616007,19038.017557211577,28727.75267902511
2014-02-19,29607.0,26532.0,27455.12814948806,31772.01,24552.783165171524,20919.642327790956,22742.089697625786,24309.184547483514
2014-02-20,25244.0,29654.0,31093.589972984642,30205.92,26090.96733207474,23384.967335414403,22040.04699335523,26856.508213491263
2014-02-21,20502.67,32275.0,30378.695727336224,32204.25,28961.205174728926,24798.467086763507,26393.956213555317,28046.122662942886
2014-02-22,27766.0,59753.0,31968.456014305644,36064.317800000004,37230.441765432435,32086.589604003406,36030.14674329039,33761.82912791383
2014-02-23,21963.0,50378.0,33589.59873475571,41188.3095,30354.937692075036,26007.73119108157,30709.050551157554,29984.089205970773
2014-02-24,24694.0,47833.0,24290.348599504818,37697.88560000001,26510.571303897454,23858.760649333068,27284.669212646626,24886.560184245114
2014-02-25,20502.67,24267.0,23665.3179867559,30652.69,24257.64940010762,23061.954842943516,25872.755674375636,23661.640743269014
2014-02-26,22570.0,29607.0,23445.93214714094,29502.23,24400.28930908854,24213.53807290141,25951.700463900346,24019.919843043626
2014-02-27,23609.0,25244.0,24474.171776135147,31947.96,25938.47347599176,25988.107746666272,27446.167922137407,25466.91766626439
2014-02-28,28312.0,20502.67,25190.229448614693,33391.72,28808.711318645946,28877.96605485265,31171.9976307841,27625.635607371096
2014-03-01,28151.0,27766.0,29585.018149207506,37912.63,37077.94790934945,38404.82098540808,39055.280047888344,35022.59568132168
2014-03-02,25746.0,21963.0,29786.236122801776,35640.22,30202.443835992053,28491.172565650457,33686.429541978796,29493.284174814762
2014-03-03,24030.0,24694.0,23573.293243878852,31093.54,26358.077447814474,26018.034499617348,27462.355416029124,25316.46839710356
2014-03-04,23137.0,20502.67,23361.065918115164,31726.52,24105.15554402464,23561.145237530058,25338.39517522798,23675.788899889954
2014-03-05,27313.0,22570.0,24575.245749047215,32463.12,24247.795453005565,25087.067469456906,24272.897246695575,24636.70289050323
2014-03-06,24614.0,23609.0,27553.546650206008,33519.37,25785.97961990878,26852.21588730122,24038.518099983445,26730.58071913867
2014-03-07,26449.0,28312.0,28233.52808669367,34324.9,28656.217462562967,28024.255015626117,27054.362361796608,28304.666854960917
