Date,Actual,Seasonal Naive,Linear Regression,Random Forest,Holt-Winters,Prophet,SARIMAX
2014-01-28,25653.0,32542.0,32871.823339581766,32287.79,24867.62482443954,25187.687863427902,26673.919305934513
2014-01-29,20502.67,32692.0,32227.16101078822,32553.12,25010.26473342046,25237.319740097668,28384.347679046827
2014-01-30,23183.0,27306.0,30167.412298788804,32768.49,26548.448900323674,25545.233228318713,26064.94803100718
2014-01-31,26191.0,24720.0,32636.990874849344,35028.04,29418.686742977865,29081.70011504472,25743.126668388297
2014-02-01,31015.0,34321.0,39879.34279850176,35558.52,37687.92333368137,36839.95362989665,32073.402578284367
2014-02-02,20641.0,27527.0,35849.676308110604,39583.81,30812.41926032397,29483.67655345293,25193.521114045343
2014-02-03,20502.67,27120.0,32526.08408181123,32945.55,26968.052872146392,26246.027333134363,19304.776121064602
2014-02-04,21640.0,25653.0,31776.269064637978,32463.99,24715.13096835656,22726.07169672259,26648.021479931114
2014-02-05,20859.0,20502.67,29846.495224090708,37812.48,24857.770877337483,23383.140329885373,23944.98996537424
2014-02-06,22869.0,23183.0,31338.403131732215,34772.29,26395.955044240694,24404.6693190762,25181.409666290907
2014-02-07,24427.0,26191.0,31980.716918159687,35797.58,29266.192886894885,26626.299387364932,29253.304958159795
2014-02-08,24989.0,31015.0,36057.783655152845,37431.44,37535.429477598394,34260.18682746979,33541.896536163236
2014-02-09,26882.0,20641.0,33398.21303504991,40980.04,30659.925404240996,28495.31897906565,24464.755649241015
2014-02-10,23616.0,20502.67,30041.47763813796,37624.21,26815.559016063413,25603.442709381183,19749.80322633512
2014-02-11,24585.0,21640.0,30709.360372015053,35679.54,24562.63711227358,22706.5821599147,27735.139117121907
2014-02-12,26532.0,20859.0,30160.649642260905,38044.72,24705.2770212545,23673.401300471734,26597.12938297337
2014-02-13,29654.0,22869.0,28645.349496353014,33825.72,26243.46118815772,23786.692593321044,23246.893425125232
2014-02-14,32275.0,24427.0,30379.638365117535,36193.2,29113.699030811906,27046.298099427775,27018.469682252748
2014-02-15,59753.0,24989.0,42195.258850945436,54675.32779999999,37382.93562151541,39131.796504599784,62160.328197165334
2014-02-16,50378.0,26882.0,38252.292423783765,39062.76,30507.431548158012,31087.168838922295,53734.515687534
2014-02-17,47833.0,23616.0,32040.827822929852,32595.1,26663.065159980433,27582.458687332728,49997.676011202246
2014-02-18,24267.0,24585.0,29544.23130811938,33795.12,24410.1432561906,23415.709531931338,27254.827056300608
2014-02-19,29607.0,26532.0,30132.49891964075,34669.68,24552.783165171524,24550.7505144901,26031.24865389691
2014-02-20,25244.0,29654.0,29555.72070732981,32392.96,26090.96733207474,24943.509693149237,27186.803064719104
2014-02-21,20502.67,32275.0,29588.630437132833,37308.28,28961.205174728926,27242.089409079865,30185.15101397027
2014-02-22,27766.0,59753.0,41846.198129160526,37478.09,37230.441765432435,35211.61253748813,32769.37061283599
2014-02-23,21963.0,50378.0,38170.85441244211,37914.2039,30354.937692075036,28939.32665215977,24152.777384893718
2014-02-24,24694.0,47833.0,33119.058926381855,35167.61,26510.571303897454,25676.478442845164,21914.24935505747
2014-02-25,20502.67,24267.0,27704.59572859262,31242.23,24257.64940010762,23844.727040239617,28161.67905837654
2014-02-26,22570.0,29607.0,27674.104001244854,30293.62,24400.28930908854,23920.365538380902,26322.353770847905
2014-02-27,23609.0,25244.0,27530.61868862092,33679.67,25938.47347599176,25415.604792862367,23243.504191654814
2014-02-28,28312.0,20502.67,27388.468616565435,39218.92,28808.711318645946,28500.772170061584,26343.257556989687
2014-03-01,28151.0,27766.0,33443.603769015856,42721.39,37077.94790934945,38681.21485245786,31661.671764952036
2014-03-02,25746.0,21963.0,29630.706517469738,41152.0,30202.443835992053,31470.157014136763,22905.653047433578
2014-03-03,24030.0,24694.0,25803.369489548808,31959.56,26358.077447814474,27618.570167799957,21769.67835249551
2014-03-04,23137.0,20502.67,25301.035593857905,35938.4,24105.15554402464,24655.660341699022,25522.244077232896
2014-03-05,27313.0,22570.0,25676.452799238432,32262.43,24247.795453005565,25145.8039241856,24530.395830285055
2014-03-06,24614.0,23609.0,26543.761808100197,34613.05,25785.97961990878,25986.601556282512,23115.22447950799
2014-03-07,26449.0,28312.0,28097.343747463354,37217.86,28656.217462562967,28120.734018932944,31263.556715586652
2014-03-08,29737.0,28151.0,31979.65423723615,40850.02,36925.454053266476,36151.223444842384,32973.74162664626
2014-03-09,29047.0,25746.0,32062.67621012924,40029.24,30049.949979909077,30013.607834655253,26669.52519027627
2014-03-10,28847.0,24030.0,26457.864943240387,31935.49,26205.583591731494,25947.011594469106,22032.059671284733
2014-03-11,27899.0,23137.0,26634.606778712485,32512.03,23952.66168794166,22706.61040939528,25448.035677428397
2014-03-12,22880.0,27313.0,28172.723203291913,33147.54,24095.30159692259,23372.627772393993,24155.211403209974
2014-03-13,24628.0,24614.0,28507.127649207174,33466.3,25633.4857638258,24589.88463683796,26008.41809325778
2014-03-14,28430.0,26449.0,29705.742944179343,37474.98,28503.723606479987,27089.573156957456,27945.160956207077
2014-03-15,31787.0,29737.0,41258.916988452285,41350.813899999994,36772.96019718349,38166.47376372981,34172.838456599355
2014-03-16,28834.0,29047.0,38822.42574166856,39239.18,29897.456123826094,30775.38713404641,25545.80258161403
2014-03-17,25385.0,28847.0,33734.86106370266,33679.98,26053.089735648515,26896.47556613914,21743.28992509858
2014-03-18,28065.0,27899.0,27595.76726528889,33197.37,23800.167831858682,21028.04836703212,28073.41326678807
2014-03-19,25963.0,22880.0,27991.97027487594,33038.87,23942.807740839606,22871.91223541741,23918.79163731
2014-03-20,32197.0,24628.0,27377.129929241586,34700.13,25480.99190774282,23221.895058869,25010.674311183186
2014-03-21,25731.0,28430.0,27114.90518564536,37224.02,28351.229750397008,25023.565530362197,27974.343858074444
2014-03-22,28380.0,31787.0,33489.4239603327,39484.06,36620.46634110052,34021.45365059499,32709.998117698357
2014-03-23,29144.0,28834.0,31475.09806513352,41383.17,29744.962267743118,27449.673244356956,26607.287086774275
2014-03-24,28113.0,25385.0,27031.577194696016,31768.22,25900.595879565535,24634.412397153916,22164.41730528223
2014-03-25,22878.0,28065.0,26664.949452715802,33382.43,23647.673975775702,21049.361067920086,28762.530924471226
2014-03-26,27539.0,25963.0,26859.118261125222,31869.71,23790.31388475663,22559.85664164123,25287.5323789154
2014-03-27,24128.0,32197.0,28614.637877366593,37433.48,25328.49805165984,23463.809443449696,25597.356554069782
2014-03-28,31896.0,25731.0,28530.28726627736,36357.13,28198.735894314028,27117.082200863242,31972.696158487866
2014-03-29,40802.0,28380.0,32842.21894959813,40713.43,36467.97248501753,35407.799401925586,35160.066177258224
2014-03-30,35916.0,29144.0,32514.95541127303,41348.95,29592.468411660135,29087.89216363801,29474.68879806987
2014-03-31,30372.0,28113.0,27458.399524303368,33189.93,25748.102023482556,25645.302278870367,21134.91771371437
2014-04-01,24108.0,22878.0,27942.931215857225,32159.41,23495.180119692723,23528.71021420589,29179.379744040623
2014-04-02,26423.0,27539.0,30159.959428061193,32363.22,23637.820028673646,24834.599822548123,24851.71851616301
2014-04-03,25788.0,24128.0,28842.84523621604,34404.15,25176.00419557686,25771.80087607773,26423.501465144713
2014-04-04,28684.0,31896.0,31138.823180442352,36639.48,28046.24203823105,28126.201180613447,29810.418369093364
